happy,wltdffr,happy_group,wealth
7,4,High,Very Unfair
8,2,High,Somewhat Fair
9,1,High,Somewhat Fair
8,1,High,Somewhat Fair
8,3,High,Very Unfair
9,-3,High,Very Unfair
8,3,High,Very Unfair
5,3,Medium,Very Unfair
10,4,High,Very Unfair
9,1,High,Somewhat Fair
10,2,High,Somewhat Fair
8,-3,High,Very Unfair
10,4,High,Very Unfair
9,3,High,Very Unfair
8,1,High,Somewhat Fair
5,2,Medium,Somewhat Fair
9,3,High,Very Unfair
10,2,High,Somewhat Fair
10,4,High,Very Unfair
6,3,Medium,Very Unfair
10,3,High,Very Unfair
9,8,High,NA
4,2,Medium,Somewhat Fair
9,1,High,Somewhat Fair
8,0,High,Fair
8,2,High,Somewhat Fair
6,7,Medium,NA
7,1,High,Somewhat Fair
4,4,Medium,Very Unfair
8,1,High,Somewhat Fair
10,3,High,Very Unfair
9,-1,High,Somewhat Fair
9,-1,High,Somewhat Fair
8,1,High,Somewhat Fair
7,2,High,Somewhat Fair
8,4,High,Very Unfair
9,0,High,Fair
6,3,Medium,Very Unfair
10,2,High,Somewhat Fair
8,2,High,Somewhat Fair
4,2,Medium,Somewhat Fair
9,4,High,Very Unfair
6,0,Medium,Fair
10,-1,High,Somewhat Fair
7,4,High,Very Unfair
9,-3,High,Very Unfair
9,0,High,Fair
3,2,Low,Somewhat Fair
9,7,High,NA
9,0,High,Fair
10,0,High,Fair
10,4,High,Very Unfair
7,0,High,Fair
6,8,Medium,NA
7,-1,High,Somewhat Fair
7,3,High,Very Unfair
8,2,High,Somewhat Fair
8,3,High,Very Unfair
10,2,High,Somewhat Fair
10,3,High,Very Unfair
7,-2,High,Somewhat Fair
10,0,High,Fair
7,8,High,NA
9,2,High,Somewhat Fair
7,3,High,Very Unfair
9,0,High,Fair
9,4,High,Very Unfair
7,1,High,Somewhat Fair
8,0,High,Fair
10,0,High,Fair
7,3,High,Very Unfair
9,-1,High,Somewhat Fair
8,2,High,Somewhat Fair
7,3,High,Very Unfair
9,7,High,NA
9,4,High,Very Unfair
8,1,High,Somewhat Fair
9,0,High,Fair
7,3,High,Very Unfair
10,2,High,Somewhat Fair
9,2,High,Somewhat Fair
8,3,High,Very Unfair
8,2,High,Somewhat Fair
8,1,High,Somewhat Fair
8,8,High,NA
7,4,High,Very Unfair
7,4,High,Very Unfair
9,2,High,Somewhat Fair
5,8,Medium,NA
7,4,High,Very Unfair
8,2,High,Somewhat Fair
9,2,High,Somewhat Fair
9,0,High,Fair
9,4,High,Very Unfair
8,3,High,Very Unfair
8,1,High,Somewhat Fair
9,-4,High,Very Unfair
7,3,High,Very Unfair
8,3,High,Very Unfair
7,3,High,Very Unfair
8,-1,High,Somewhat Fair
10,7,High,NA
6,1,Medium,Somewhat Fair
7,0,High,Fair
10,4,High,Very Unfair
6,2,Medium,Somewhat Fair
5,0,Medium,Fair
10,2,High,Somewhat Fair
9,1,High,Somewhat Fair
10,2,High,Somewhat Fair
10,4,High,Very Unfair
8,4,High,Very Unfair
9,4,High,Very Unfair
7,3,High,Very Unfair
6,3,Medium,Very Unfair
8,8,High,NA
8,3,High,Very Unfair
9,0,High,Fair
4,4,Medium,Very Unfair
10,-2,High,Somewhat Fair
6,2,Medium,Somewhat Fair
10,3,High,Very Unfair
8,0,High,Fair
8,0,High,Fair
8,3,High,Very Unfair
9,3,High,Very Unfair
8,4,High,Very Unfair
9,2,High,Somewhat Fair
